Cell ID,Number of Frames Appeared
1,3
2,52
3,30
4,63
5,15
6,40
7,13
8,37
9,40
10,61
11,50
12,64
13,2
14,8
15,5
16,1
17,22
18,14
19,1
20,1
21,1
22,2
23,3
24,2
25,36
26,3
27,13
28,5
29,8
30,14
31,12
32,1
33,17
34,2
35,1
36,1
37,6
38,1
39,1
40,1
41,1
42,2
43,2
44,14
45,2
46,1
47,16
48,1
49,19
50,1
51,1
52,30
53,26
54,7
55,2
56,7
57,2
58,7
59,10
60,7
61,10
62,1
63,1
64,5
65,2
66,27
67,1
68,3
69,2
70,17
71,4
72,9
73,1
74,10
75,5
76,17
77,1
78,4
79,1
80,6
81,2
82,6
83,3
84,3
85,2
86,1
87,1
88,10
89,2
90,1
91,3
92,2
93,2
94,1
95,1
96,1
97,1
98,1
99,1
100,1
